logFC	AveExpr	t	P.Value	adj.P.Val	b	Probe.ID	gene_symbol
0.068	5.277	0.476	0.649	0.881	-6.804	10352813	Gm22265
0.326	10.353	3.983	0.006	0.117	-2.309	10352815	Irf6
-0.337	6.814	-3.141	0.017	0.202	-3.481	10352827	A130010J15Rik
0.016	7.984	0.19	0.855	0.961	-6.91	10352829	A130010J15Rik
0.305	7.315	2.741	0.029	0.261	-4.064	10352838	Lamb3
0.015	9.435	0.19	0.855	0.961	-6.91	10352867	Plxna2
0.124	7.729	1.016	0.344	0.706	-6.385	10352905	Cd34
-0.226	7.549	-1.641	0.146	0.51	-5.644	10352914	A330023F24Rik
-0.438	5.872	-3.19	0.016	0.196	-3.411	10352916	A330023F24Rik
-0.182	6.332	-1.181	0.277	0.652	-6.21	10352918	A330023F24Rik
0.105	6.688	0.951	0.374	0.728	-6.449	10352920	Xkr4
-0.048	4.625	-0.363	0.728	0.913	-6.856	10352928	Rp1
0.035	6.809	0.177	0.865	0.964	-6.913	10352936	Sox17
-0.192	10.436	-1.524	0.172	0.544	-5.797	10352945	Gm6085
-0.053	9.996	-0.511	0.625	0.872	-6.785	10352947	Mrpl15
0.046	7.623	0.552	0.599	0.861	-6.761	10352954	Hmgb3
-0.042	5.572	-0.517	0.621	0.871	-6.782	10352957	Rgs20
0.061	6.406	0.604	0.565	0.844	-6.729	10352969	Npbwr1
-0.059	7.887	-0.713	0.499	0.808	-6.652	10352971	4732440D04Rik
0.075	6.065	0.963	0.368	0.725	-6.437	10352980	Sntg1
-0.229	8.981	-2.619	0.035	0.282	-4.243	10353002	Gm23358
0.371	9.51	3.28	0.014	0.185	-3.282	10353004	Cks2
0.017	6.351	0.145	0.889	0.97	-6.919	10353008	Gm6152
0.059	7.491	0.4	0.702	0.902	-6.841	10353010	Mybl1
-0.197	9.676	-2.672	0.033	0.272	-4.165	10353028	Vcpip1
0.017	7.544	0.178	0.864	0.964	-6.913	10353032	Gm6195
-0.403	6.301	-3.326	0.013	0.181	-3.216	10353034	Snord87
-0.11	6.802	-0.968	0.366	0.723	-6.432	10353036	Tcf24
-0.091	4.062	-0.84	0.429	0.766	-6.549	10353038	Ppp1r42
-0.149	5.564	-1.318	0.23	0.607	-6.052	10353048	Gm24674
0.016	9.229	0.168	0.871	0.965	-6.914	10353050	Cops5
-0.178	10.421	-2.705	0.031	0.267	-4.118	10353064	Arfgef1
-0.128	4.336	-1.549	0.166	0.536	-5.765	10353102	Cpa6
-0.156	5.433	-1.76	0.123	0.473	-5.482	10353115	Gm25253
0.004	5.79	0.021	0.984	0.995	-6.93	10353117	Slco5a1
0.165	5.775	1.467	0.187	0.56	-5.869	10353127	Prdm14
0.027	9.455	0.383	0.714	0.907	-6.848	10353135	Ncoa2
-0.107	12.666	-1.32	0.229	0.606	-6.05	10353167	Tram1
0.124	12.18	1.834	0.11	0.455	-5.381	10353181	Lactb2
0.07	14.131	1.086	0.314	0.682	-6.313	10353189	Gapdh
1.368	6.427	10.487	0	0.005	3.655	10353192	Eya1
-0.07	6.81	-0.558	0.595	0.859	-6.758	10353213	Msc
0.112	12.447	1.441	0.194	0.567	-5.903	10353219	Sumo2
-0.042	5.006	-0.553	0.598	0.861	-6.761	10353221	Trpa1
0.076	14.51	1.16	0.285	0.659	-6.233	10353250	Gapdh
-0.201	5.4	-1.747	0.125	0.476	-5.5	10353252	Sbspon
0.096	5.902	0.841	0.429	0.766	-6.549	10353258	4930444P10Rik
-0.278	10.777	-3.815	0.007	0.13	-2.536	10353265	Rpl7
0.217	8.268	2.321	0.054	0.338	-4.681	10353272	Stau2
-0.004	8.617	-0.049	0.963	0.989	-6.929	10353288	Ube2w
-0.019	10.658	-0.286	0.783	0.936	-6.884	10353296	Tceb1
0.09	8.066	0.839	0.43	0.766	-6.55	10353305	Gm5828
-0.083	6.656	-0.913	0.392	0.742	-6.485	10353307	Gm16088
-0.077	6.594	-0.808	0.446	0.777	-6.577	10353309	Jph1
0.077	7.162	0.574	0.584	0.853	-6.748	10353311	Jph1
-0.074	4.016	-0.83	0.434	0.77	-6.558	10353320	Crisp4
0.06	3.698	0.465	0.656	0.884	-6.809	10353330	Defb44-ps
-0.031	4.27	-0.295	0.777	0.933	-6.882	10353333	Defb18
-0.044	3.805	-0.503	0.631	0.874	-6.79	10353336	Gm15386
-0.024	11.434	-0.295	0.777	0.933	-6.881	10353341	Hmgb1
-0.073	7.575	-0.959	0.37	0.726	-6.441	10353346	Pkhd1
-0.101	3.12	-1.098	0.309	0.678	-6.3	10353413	Gm24162
0.133	6.478	1.254	0.251	0.627	-6.128	10353415	Il17f
0.344	7.091	4.951	0.002	0.063	-1.088	10353420	Mcm3
0.313	9.499	4.651	0.002	0.075	-1.451	10353438	Tram2
0.599	7.299	3.705	0.008	0.141	-2.686	10353450	Gm4956
-0.267	6.178	-3.071	0.019	0.211	-3.582	10353460	Kcnq5
-0.071	9.168	-0.713	0.5	0.808	-6.653	10353475	Eif3m
-0.162	5.918	-1.483	0.183	0.556	-5.849	10353479	Rims1
-0.109	6.123	-0.894	0.402	0.748	-6.502	10353519	4933415F23Rik
0.068	8.149	0.61	0.562	0.842	-6.725	10353522	Gm6420
-0.224	8.787	-1.963	0.091	0.423	-5.199	10353524	Ogfrl1
-0.027	10.219	-0.366	0.726	0.913	-6.855	10353533	Smap1
-0.107	7.335	-0.91	0.394	0.743	-6.487	10353545	1110058L19Rik
-0.079	9.055	-0.978	0.361	0.72	-6.423	10353549	Fam135a
0.051	6.199	0.644	0.54	0.832	-6.702	10353574	Col19a1
-0.012	14.118	-0.146	0.888	0.97	-6.918	10353624	ND4L
-0.034	14.106	-0.504	0.63	0.874	-6.789	10353626	ATP8
0.011	14.031	0.165	0.874	0.966	-6.915	10353630	COX2
0.143	4.72	0.904	0.397	0.745	-6.493	10353632	Bai3
-0.1	3.535	-1.251	0.252	0.628	-6.131	10353667	Gm22260
-0.082	5.326	-0.913	0.392	0.742	-6.484	10353669	4931408C20Rik
-0.159	6.457	-1.094	0.311	0.679	-6.305	10353672	n-R5s209
-0.192	5.438	-0.871	0.413	0.756	-6.522	10353674	Lsm5
0.062	4.376	0.633	0.547	0.835	-6.71	10353676	Gm597
0.006	6.324	0.064	0.951	0.987	-6.928	10353679	Gm5697
0.213	3.649	2.063	0.079	0.402	-5.056	10353684	Gm25586
-0.408	6.207	-4.244	0.004	0.099	-1.966	10353686	Gm9898
-0.008	10.27	-0.104	0.92	0.979	-6.924	10353689	Phf3
-0.118	11.837	-1.778	0.12	0.468	-5.458	10353707	Ptp4a1
-0.083	6.498	-0.939	0.379	0.732	-6.46	10353716	Gm5699
0	5.346	-0.004	0.997	0.999	-6.931	10353721	4931428L18Rik
-0.026	3.001	-0.391	0.708	0.905	-6.845	10353727	Gm25814
-0.044	5.811	-0.633	0.547	0.835	-6.71	10353729	Gm5415
-0.055	5.852	-0.728	0.491	0.803	-6.641	10353731	Gm5415
0.258	7.729	2.402	0.048	0.321	-4.562	10353733	Prim2
-0.003	6.968	-0.04	0.969	0.991	-6.93	10353750	Bag2
-0.13	7.896	-1.354	0.219	0.595	-6.01	10353754	Zfp451
-0.23	9.215	-1.894	0.101	0.439	-5.296	10353773	Gm15455
-0.013	5.95	-0.131	0.9	0.973	-6.921	10353775	Bend6
0.223	7.02	2.217	0.063	0.362	-4.834	10353783	Ccdc115
0.253	5.719	2.227	0.062	0.36	-4.82	10353786	Prss40
-0.025	6.063	-0.284	0.785	0.936	-6.885	10353792	1700101I19Rik
0.07	10.242	0.972	0.364	0.722	-6.428	10353794	Fam168b
-0.228	10.7	-2.959	0.022	0.227	-3.745	10353803	Uggt1
0.162	7.805	2.379	0.05	0.326	-4.597	10353844	Neurl3
0.043	9.541	0.549	0.601	0.862	-6.763	10353849	Kansl3
0.125	9.015	1.347	0.221	0.597	-6.018	10353871	Lman2l
-0.649	7.913	-7.867	0	0.013	1.804	10353878	Ankrd23
-0.015	7.34	-0.14	0.893	0.971	-6.919	10353891	Ankrd39
0.001	7.613	0.006	0.995	0.998	-6.93	10353899	Sema4c
0.017	5.851	0.245	0.814	0.947	-6.897	10353915	Fam178b
0.026	6.866	0.28	0.788	0.937	-6.886	10353923	Fam178b
0.091	9.405	1.154	0.287	0.661	-6.241	10353934	Actr1b
0.097	10.473	1.315	0.231	0.607	-6.057	10353947	Tmem131
-0.106	12.882	-1.308	0.233	0.61	-6.065	10353991	Rpl12
-0.036	10.372	-0.495	0.636	0.877	-6.794	10353993	Coa5
-0.059	6.645	-0.352	0.735	0.916	-6.861	10354003	Mgat4a
-0.206	6.715	-2.052	0.08	0.405	-5.073	10354019	2010300C02Rik
-0.074	5.778	-0.935	0.382	0.734	-6.464	10354031	Tsga10
-0.087	8.602	-0.882	0.408	0.752	-6.513	10354054	Mitd1
-0.068	5.53	-0.503	0.631	0.874	-6.79	10354065	Lyg2
-0.069	5.549	-0.769	0.467	0.79	-6.609	10354072	Lyg1
-0.03	10.03	-0.316	0.761	0.927	-6.874	10354079	Txndc9
-0.179	8.431	-2.254	0.06	0.354	-4.78	10354085	Rev1
-0.143	6.539	-1.5	0.178	0.551	-5.828	10354111	Aff3
-0.024	5.593	-0.194	0.852	0.96	-6.909	10354141	Lonrf2
-0.046	6.905	-0.559	0.594	0.859	-6.757	10354157	Chst10
0.169	8.933	2.404	0.048	0.321	-4.56	10354168	Tbc1d8
0.073	10.383	0.979	0.361	0.72	-6.422	10354191	Rnf149
-0.311	7.363	-2.033	0.082	0.409	-5.1	10354203	Gm23722
0.027	6.4	0.225	0.828	0.952	-6.902	10354207	Creg2
0.039	6.527	0.58	0.58	0.851	-6.744	10354216	Rfx8
0.001	7.484	0.017	0.987	0.996	-6.93	10354220	Mfsd9
-0.219	5.327	-2.205	0.064	0.366	-4.852	10354227	Gm5973
-0.102	4.88	-1	0.351	0.712	-6.401	10354229	Pantr1
0.099	9.927	0.934	0.382	0.734	-6.465	10354233	Tgfbrap1
0.037	6.929	0.479	0.647	0.881	-6.803	10354247	Fhl2
-0.236	9.219	-3.595	0.009	0.15	-2.837	10354258	Uxs1
0.191	4.318	2.044	0.081	0.407	-5.084	10354267	Mettl21c
-0.088	4.789	-0.838	0.43	0.767	-6.551	10354273	LOC102636082
-0.235	6.983	-1.983	0.089	0.421	-5.171	10354275	Tex30
-0.25	7.434	-2.93	0.023	0.232	-3.787	10354286	Kdelc1
-0.281	4.669	-2.614	0.035	0.283	-4.251	10354299	Mettl21e
0.159	6.979	2.321	0.054	0.338	-4.682	10354309	Col5a2
0.002	3.294	0.014	0.989	0.997	-6.93	10354370	Gm23216
0.098	11.735	1.411	0.202	0.576	-5.94	10354372	Myl6
0.134	11.372	1.896	0.101	0.439	-5.294	10354374	Slc40a1
-0.018	4.502	-0.108	0.917	0.978	-6.924	10354384	Gm4776
0.159	7.75	1.391	0.208	0.583	-5.964	10354389	Slc39a10
0.01	12.071	0.164	0.874	0.966	-6.915	10354404	Dnajb6
-0.109	3.604	-1.184	0.276	0.651	-6.207	10354406	Gm23240
-0.204	9.351	-2.376	0.05	0.327	-4.601	10354418	Nabp1
-0.042	11.288	-0.593	0.572	0.847	-6.736	10354432	Myo1b
-0.249	11.96	-2.888	0.024	0.238	-3.849	10354470	Rpl15
-0.261	7.444	-1.94	0.094	0.429	-5.232	10354472	Gls
0.105	3.286	1.189	0.274	0.649	-6.202	10354492	Gm23460
0.074	10.65	0.715	0.498	0.807	-6.651	10354494	Nab1
0.049	6.458	0.267	0.797	0.94	-6.89	10354504	Gm5976
0.022	8.396	0.267	0.797	0.94	-6.89	10354506	Mfsd6
-0.069	7.937	-0.654	0.534	0.828	-6.695	10354521	Inpp1
-0.175	4.955	-0.941	0.379	0.731	-6.458	10354529	1700019D03Rik
0.041	4.351	0.52	0.62	0.87	-6.78	10354534	1700019A02Rik
-0.098	8.045	-1.314	0.231	0.608	-6.057	10354542	Pms1
-0.052	10.786	-0.43	0.68	0.894	-6.827	10354555	Asnsd1
-0.029	4.781	-0.224	0.829	0.953	-6.902	10354563	Dnah7a
-0.099	6.01	-0.6	0.568	0.844	-6.731	10354576	Dnah7a
-0.287	5.285	-1.288	0.239	0.616	-6.088	10354581	Dnah7a
0.066	9.03	0.997	0.353	0.713	-6.404	10354588	Stk17b
-0.017	7.765	-0.245	0.814	0.947	-6.897	10354598	Hecw2
-0.161	8.44	-1.244	0.254	0.63	-6.14	10354630	Gtf3c3
-0.155	6.141	-1.247	0.253	0.629	-6.136	10354644	LOC102637189
-0.185	5.839	-1.381	0.211	0.586	-5.977	10354647	Pgap1
0.105	10.417	1.195	0.272	0.648	-6.194	10354649	Pgap1
-0.006	7.527	-0.072	0.944	0.985	-6.928	10354677	Ankrd44
-0.133	10.651	-1.854	0.107	0.45	-5.352	10354704	Sf3b1
0.036	7.973	0.346	0.74	0.918	-6.863	10354730	E330011M16Rik
0.045	12.482	0.476	0.649	0.881	-6.804	10354732	Hspd1
-0.098	9.913	-0.508	0.627	0.873	-6.787	10354739	Atp5l
-0.037	6.506	-0.344	0.741	0.918	-6.864	10354741	Rftn2
-0.008	4.065	-0.077	0.941	0.983	-6.927	10354753	Boll
-0.183	4.071	-1.066	0.323	0.689	-6.335	10354765	LOC101055993
0.286	9.558	3.268	0.014	0.186	-3.299	10354768	Akr1b3
0.144	4.116	1.279	0.243	0.619	-6.099	10354773	Hsfy2
0.009	6.829	0.132	0.898	0.973	-6.921	10354777	Satb2
0.406	7.781	3.373	0.012	0.174	-3.149	10354792	Tyw5
-0.116	6.694	-1.512	0.175	0.548	-5.813	10354807	Kctd18
0.016	9.996	0.192	0.854	0.961	-6.91	10354816	Clk1
-0.115	8.581	-1.337	0.224	0.601	-6.031	10354832	Ppil3
0.126	7.821	1.454	0.19	0.563	-5.886	10354845	Orc2
-0.047	9.605	-0.469	0.654	0.883	-6.808	10354868	Fam126b
-0.174	5.755	-1.756	0.123	0.474	-5.488	10354883	Als2cr12
-0.124	9.521	-1.728	0.129	0.483	-5.527	10354897	Trak2
-0.212	5.663	-2.281	0.057	0.348	-4.741	10354916	LOC102636554
-0.211	4.504	-1.336	0.224	0.601	-6.031	10354919	LOC102636554
0.022	4.182	0.223	0.83	0.953	-6.902	10354921	Als2cr11
-0.082	6.873	-1.135	0.295	0.667	-6.262	10354938	Tmem237
-0.013	6.158	-0.115	0.912	0.977	-6.923	10354955	Mpp4
-0.141	10.559	-1.645	0.145	0.509	-5.639	10354979	Als2
-0.073	9.561	-0.439	0.674	0.892	-6.823	10355017	Sumo1
-0.019	5.174	-0.162	0.876	0.966	-6.916	10355024	Ica1l
-0.191	7.366	-1.888	0.102	0.441	-5.305	10355037	Wdr12
-0.545	10.978	-6.571	0	0.025	0.65	10355050	Raph1
-0.182	9.579	-2.617	0.035	0.282	-4.247	10355069	Ino80d
-0.012	10.296	-0.114	0.913	0.977	-6.923	10355084	Ndufs1
-0.051	6.027	-0.522	0.618	0.869	-6.779	10355109	Gpr1
0.131	4.449	1.864	0.105	0.448	-5.339	10355113	Gm23448
0	11.963	0.006	0.996	0.998	-6.931	10355115	Prelid1
0.036	6.535	0.243	0.815	0.947	-6.897	10355117	Dytn
-0.104	4.502	-1.242	0.255	0.631	-6.142	10355121	Mdh1b
-0.138	5.579	-1.352	0.219	0.596	-6.012	10355134	4933402D24Rik
0.076	5.826	0.537	0.608	0.864	-6.77	10355138	Gm13751
0.097	8.744	1.352	0.219	0.596	-6.012	10355141	Klf7
-0.061	7.449	-0.788	0.457	0.784	-6.594	10355147	Mettl21a
0.243	7.328	2.655	0.033	0.276	-4.191	10355152	Fzd5
-0.192	6.913	-2.542	0.039	0.295	-4.356	10355162	Plekhm3
0.118	12.688	1.545	0.167	0.537	-5.77	10355173	Rpl10a
-0.088	4.907	-1.043	0.332	0.697	-6.358	10355176	Akr1cl
-0.102	6.294	-1.298	0.236	0.613	-6.076	10355188	Cryge
0.252	4.313	3.5	0.01	0.159	-2.97	10355191	Crygd
0.102	5.712	1.044	0.332	0.697	-6.356	10355193	Crygc
0.288	4.96	2.799	0.027	0.25	-3.978	10355199	Crygb
0.011	6.289	0.086	0.934	0.982	-6.926	10355202	Cryga
0.082	5.764	0.899	0.399	0.747	-6.498	10355205	D630023F18Rik
-0.007	12.687	-0.074	0.943	0.984	-6.927	10355214	Idh1
0.016	3.567	0.204	0.844	0.957	-6.907	10355225	Gm10558
-0.027	7.938	-0.254	0.807	0.944	-6.894	10355227	Kansl1l
0.041	11.145	0.643	0.541	0.832	-6.703	10355246	Acadl
-1.602	7.871	-10.315	0	0.005	3.55	10355259	Myl1
0.065	6.77	0.869	0.414	0.757	-6.524	10355264	Rpl31-ps14
0.07	9.868	0.917	0.39	0.74	-6.48	10355266	Lancl1
0.514	7.588	6.083	0.001	0.033	0.165	10355278	Erbb4
-0.382	6.944	-2.774	0.028	0.255	-4.015	10355310	Gm8840
-0.037	6.521	-0.364	0.727	0.913	-6.856	10355312	Ikzf2
